id_linea,nombre_linea,modo,id_linea_agg,nombre_linea_agg
148,Subte E,SUB,8000.0,Subte
149,Tren Urquiza,TRE,149.0,Tren Urquiza
150,Línea 021,COL,,
151,Línea 236,COL,,
152,Línea 312,COL,,
153,Línea 045,COL,,
154,Norte Municipal,COL,,
155,Línea 503A,COL,,
156,Línea 440,COL,,
157,Línea 154,COL,,
158,Línea 019,COL,,
159,Línea 502_SUR,COL,,
160,Tren Mitre (Tigre),TRE,5100.0,Tren Mitre
161,Línea 520C,COL,,
162,Línea 297,COL,,
163,Línea 500D,COL,,
164,Línea 153,COL,,
165,Línea 373,COL,,
166,Línea 046,COL,,
167,Línea 384,COL,,
168,Línea 105,COL,,
169,Línea 253,COL,,
170,Línea 321,COL,,
171,Línea 090,COL,,
172,Tren Mitre,TRE,5100.0,Tren Mitre
173,Línea 570,COL,,
174,Tren Mitre (Capilla),TRE,5100.0,Tren Mitre
175,Tren Mitre (Zárate),TRE,5100.0,Tren Mitre
176,Línea 315,COL,,
177,Línea 168,COL,,
178,Línea 164,COL,,
179,Línea 723,COL,,
180,Línea 065,COL,,
181,Línea 328,COL,,
182,Línea 106,COL,,
183,Línea 108,COL,,
184,Línea 099,COL,,
185,Línea 179,COL,,
186,Línea 194,COL,,
187,Línea 215,COL,,
188,Línea 720,COL,,
189,Línea 200,COL,,
190,Línea 225,COL,,
191,Línea 404,COL,,
192,Línea 414,COL,,
193,Línea 508C,COL,,
194,Línea 561B,COL,,
195,Línea 195,COL,,
196,Tren Belgrano Norte,TRE,196.0,Tren Belgrano Norte
197,Línea 407,COL,,
198,Línea 228A,COL,,
199,Línea 523,COL,,
200,Línea 119,COL,,
201,Línea 437,COL,,
202,Línea 277,COL,,
203,Línea 707,COL,,
204,Línea 524,COL,,
205,Línea 329,COL,,
206,Línea 422,COL,,
207,Línea 151,COL,,
208,Línea 500C,COL,,
209,Línea 23,COL,,
210,Línea 501F,COL,,
211,Línea 5,COL,,
