id,id_tarjeta,modo,lat,lon,sexo,interno_bus,tipo_trx_tren,etapa_red_sube,id_linea,id_ramal,id_tarifa,hora,fecha
2189528,37031563.0,SUB,-34.618,-58.436,F,,,1,32,32,1,11,27/11/2019
2189529,37031563.0,SUB,-34.608,-58.37,F,,,0,32,32,1,19,27/11/2019
2190385,37036697.0,COL,-34.672,-58.606,,2014.0,,0,77,77,1,5,27/11/2019
2190386,37036697.0,COL,-34.672,-58.606,,2834.0,,1,323,323,1,16,27/11/2019
2190513,37037258.0,COL,-34.622,-58.392,F,1783.0,,0,171,171,1,18,27/11/2019
2190514,37037258.0,COL,-34.614,-58.416,F,2936.0,,1,341,341,1,19,27/11/2019
2190515,37037258.0,COL,-34.622,-58.446,F,4024.0,,0,11,11,1,20,27/11/2019
2190959,37039255.0,COL,-34.656,-58.406,M,1968.0,,0,166,166,1,6,27/11/2019
2190960,37039255.0,COL,-34.848,-58.278,M,144.0,,0,280,280,1,19,27/11/2019
2190961,37039255.0,COL,-34.814,-58.256,M,744.0,,1,224,224,1,19,27/11/2019
2190962,37039255.0,COL,-34.656,-58.416,M,4675.0,,2,102,102,1,21,27/11/2019
2192740,37048535.0,COL,-34.548,-58.764,,2387.0,,0,156,156,1,16,27/11/2019
2192741,37048535.0,COL,-34.566,-58.738,,1821.0,,0,156,156,1,21,27/11/2019
2192807,37048771.0,COL,-34.628,-58.366,F,2785.0,,0,91,91,4,14,27/11/2019
2194151,37067733.0,COL,-34.88,-58.398,F,2427.0,,0,47,47,8,8,27/11/2019
2194152,37067733.0,TRE,-34.884,-58.384,F,,CHECK IN,1,16,16,8,8,27/11/2019
2194153,37067733.0,TRE,-34.798,-58.394,F,,CHECK OUT,1,16,16,8,9,27/11/2019
2194154,37067733.0,TRE,-34.798,-58.394,F,,CHECK IN,0,16,16,8,10,27/11/2019
2194155,37067733.0,COL,-34.86,-58.388,F,4411.0,,1,47,47,8,11,27/11/2019
2194156,37067733.0,TRE,-34.858,-58.388,F,,CHECK OUT,0,16,16,8,11,27/11/2019
2194550,37311828.0,COL,,,F,1516.0,,0,305,305,4,8,27/11/2019
2194551,37311828.0,COL,-34.626,-58.412,F,2691.0,,0,305,305,4,12,27/11/2019
2196200,37324460.0,COL,-34.86,-58.388,F,4522.0,,0,387,387,6,11,27/11/2019
2199961,37390486.0,TRE,-34.666,-58.698,F,,CHECK IN,0,144,144,1,8,27/11/2019
2199962,37390486.0,COL,-34.65,-58.792,F,2081.0,,1,370,370,1,8,27/11/2019
2199963,37390486.0,TRE,-34.65,-58.79,F,,CHECK OUT,0,144,144,1,8,27/11/2019
2199964,37390486.0,COL,-34.56,-59.12,F,519.0,,0,370,370,1,11,27/11/2019
2199965,37390486.0,COL,-34.65,-58.79,F,2739.0,,1,152,152,1,12,27/11/2019
2200834,37395348.0,COL,-34.932,-57.954,F,2937.0,,0,159,159,1,11,27/11/2019
2200835,37395348.0,COL,-34.906,-57.95,F,3570.0,,1,116,116,1,12,27/11/2019
2201585,37399516.0,SUB,-34.604,-58.4,,,,0,32,33,1,15,27/11/2019
2202362,37405837.0,COL,-34.728,-58.234,,4190.0,,0,87,87,1,7,27/11/2019
