id_linea,nombre_linea,modo,id_ramal,nombre_ramal,ramal,provincia,municipio,id_linea_agg,nombre_linea_agg
4,LINEA 111,COL,4,111A,(por VILLA CONCEPCION) CARLOS CALVO y AZOPARDO (CIUDAD AUTONOMA DE BUENOS AIRES) - ITALIA N 7353 (PARTIDO DE GENERAL SAN MARTIN - BS AS),JN,JN,,
4,LINEA 111,COL,4,111B,B (por AVENIDA DE LOS CONSTITUYENTES) CARLOS CALVO y AZOPARDO (CABA) - ITALIA N 7353 (PARTIDO DE GENERAL SAN MARTIN - BS AS),JN,JN,,
4,LINEA 111,COL,4,111C,(por VILLA CONCEPCION y PARAGUAY) CARLOS CALVO y AZOPARDO (CABA) - ITALIA N 7353 (PARTIDO DE GENERAL SAN MARTIN - BS AS),JN,JN,,
4,LINEA 111,COL,4,111D,D CARLOS CALVO y AZOPARDO (CIUDAD AUTONOMA DE BUENOS AIRES) - CHACARITA (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
4,LINEA 111,COL,4,111E,E CARLOS CALVO y AZOPARDO (CIUDAD AUTONOMA DE BUENOS AIRES) - AVENIDA DE LOS CONSTITUYENTES y AVENIDA GENERAL PAZ (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
4,LINEA 111,COL,4,111F,F (por PARAGUAY) CARLOS CALVO y AZOPARDO (CIUDAD AUTONOMA DE BUENOS AIRES) - 2 AVENIDA DE LOS CONSTITUYENTES y AVENIDA GENERAL PAZ (CABA),JN,JN,,
5,LINEA 269,COL,5,269A,MORON - LEMOS POR HOSPITAL,BUENOS AIRES,PROV,,
5,LINEA 269,COL,5,269B,MORON - LEMOS POR CRUCE CASTELAR,BUENOS AIRES,PROV,,
5,LINEA 269,COL,5,269C,EST MORON  - EST MORENO,BUENOS AIRES,PROV,,
5,LINEA 269,COL,5,269D,EST MORON - VILLA LEON,BUENOS AIRES,PROV,,
5,LINEA 269,COL,5,269E,MORON - LEMOS POR LOMAS DE MARILO,BUENOS AIRES,PROV,,
5,LINEA 269,COL,5,269F,MORON - LAS CATONAS,BUENOS AIRES,PROV,,
6,LINEA 24,COL,6,024A,ESTACION VILLA DEL PARQUE - CEMENTERIO AVELLANEDA (POR CEMENTERIO),JN,JN,,
6,LINEA 24,COL,6,024B,ESTACION VILLA DEL PARQUE - CEMENTERIO AVELLANEADA (POR WILDE),JN,JN,,
6,LINEA 24,COL,6,024C,024C V DEL PARQUE-A DEL VALLE Y PATRICIOS,JN,JN,,
7,LINEA 78,COL,7,078A,CHACARITA - VILLA ADELINA (POR ESTACION BALLESTER),JN,JN,,
7,LINEA 78,COL,7,078B,CHACARITA - VILLA ADELINA (POR ESTACION CHILAVERT),JN,JN,,
7,LINEA 78,COL,7,078C,CHACARITA - LOMA HERMOSA,JN,JN,,
8,LINEA 365,COL,8,365R1,RAMAL 1 SAAVEDRA - STEFANI POR SAN MIGUEL,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R10,RAMAL 10 CARUPA - STEFANI POR CRUCE,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R11,RAMAL 11 SAAVEDRA - LUJAN POR CRUCE,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R12,RAMAL  12 SAAVEDRA - LUJAN POR SAN MIGUEL,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R13,RAMAL 13 SAAVEDRA - LUJAN POR PANAMERICANA,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R14,RAMAL 14 SAAVEDRA - B NAMUNCURA POR PANAMERICANA,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R2,RAMAL 2 SAAVEDRA - STEFANI POR RUTA 197 CRUCE,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R3,RAMAL 3 SAAVEDRA- STEFANI POR PANAMERICANA,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R4,RAMAL 4 SAAVEDRA- DERQUI POR VUCETICH,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R5,RAMAL 5 SAAVEDRA  DERQUI POR SAAVEDRA LAMAS,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R6,RAMAL 6 LEMOS- LUJAN,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R7,RAMAL 7 JOSE C PAZ - DERQUI POR SAAVEDRA LAMAS,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R8,RAMAL 8 JOSE C PAZ - BNAMUNCURA,BUENOS AIRES,PROV,,
8,LINEA 365,COL,8,365R9,RAMAL 9 PANAMERICANA Y RUTA 197- STEFANI POR CRUCE,BUENOS AIRES,PROV,,
9,LINEA 87,COL,9,087A,CHACARITA - SAN MARTIN (POR AUTOPISTA),JN,JN,,
9,LINEA 87,COL,9,087B,CHACARITA - SAN MARTIN,JN,JN,,
9,LINEA 87,COL,9,087C,CHACHARITA - BARRIO SAN ISIDRO,JN,JN,,
10,LINEA 634,COL,10,634A,ESTACION MERLO GOMEZ-PALOMAR,BUENOS AIRES,MORON,,
10,LINEA 634,COL,10,634B,ALESSANDRI,BUENOS AIRES,MORON,,
10,LINEA 634,COL,10,634C,BARRIO SAN JUAN-PATAGONES Y DON BOSCO,BUENOS AIRES,MORON,,
10,LINEA 634,COL,10,634D,PALOMAR-BARRIO GAONA,BUENOS AIRES,MORON,,
11,LINEA 53,COL,11,053A,LA BOCA (CIUDAD AUTONOMA DE BUENOS AIRES) - SAN MIGUEL (PARTIDO DE SAN MIGUEL - PROVINCIA DE BUENOS AIRES),JN,JN,,
11,LINEA 53,COL,11,053B,LA BOCA (CIUDAD AUTONOMA DE BUENOS AIRES) - AEROPUERTO EL PALOMAR- PARTIDO DE MORON - PROVINCIA DE BUENOS A,JN,JN,,
11,LINEA 53,COL,11,053C,LA BOCA (CIUDAD AUTONOMA DE BUENOS AIRES) - JOSE C PAZ (PARTIDO DE JOSE C PAZ - PROVINCIA DE BUENOS AIRES),JN,JN,,
11,LINEA 53,COL,11,053D,LA BOCA (CIUDAD AUTONOMA DE BUENOS AIRES) - AVENIDA NAZCA y AVENIDA RIVADAVIA (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
11,LINEA 53,COL,11,053E,PLAZA CONSTITUCION (CIUDAD AUTONOMA DE BUENOS AIRES) - JOSE C PAZ (PARTIDO DE JOSE C PAZ - PROVINCIA DE BS AS) EXPRESO por AUTOPISTA 25 DE MAYO,JN,JN,,
12,LINEA 140,COL,12,140A,A CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - ESTACION BOULOGNE (LINEA MITRE-PARTIDO DE SAN ISIDRO - PROVINCIA DE BUENOS AIRES),JN,JN,,
12,LINEA 140,COL,12,140B,B CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - AVENIDA ALVAREZ THOMAS y AVENIDA FEDERICO LACROZE (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
12,LINEA 140,COL,12,140C,C CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - ESTACION GENERAL URQUIZA (LINEA MITRE-CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
12,LINEA 140,COL,12,140D,D CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - AVENIDA CONGRESO y BUCARELLI (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
13,LINEA 303,COL,13,303A,Est Moron-Colectora Pta 2 Ford,BUENOS AIRES,PROV,,
14,LINEA 504 ITUZAINGO,COL,14,504RA,RECORRIDO A,BUENOS AIRES,ITUZAINGO,,
