id,id_tarjeta,modo,lat,lon,sexo,interno_bus,tipo_trx_tren,etapa_red_sube,id_linea,id_ramal,id_tarifa,hora,fecha
2208030,37466398.0,TRE,-34.47,-58.758,M,,CHECK OUT,1,196,196,1,6,28/11/2019
2208031,37466398.0,TRE,-34.47,-58.758,M,,CHECK IN,0,196,196,1,17,28/11/2019
2208032,37466398.0,TRE,-34.508,-58.566,M,,CHECK OUT,0,196,196,1,18,28/11/2019
2208369,37468384.0,COL,-34.756,-58.602,,673.0,,0,122,122,1,6,28/11/2019
2208370,37468384.0,COL,-34.752,-58.586,,4723.0,,1,72,72,1,7,28/11/2019
2208371,37468384.0,COL,-34.756,-58.602,,672.0,,0,118,118,1,16,28/11/2019
2208372,37468384.0,COL,-34.744,-58.572,,4282.0,,0,118,118,1,17,28/11/2019
2208373,37468384.0,COL,-34.75,-58.584,,1883.0,,1,72,72,1,17,28/11/2019
2210136,37480237.0,COL,-34.568,-58.742,F,4674.0,,0,156,156,13,7,28/11/2019
2210137,37480237.0,COL,-34.544,-58.73,F,427.0,,0,156,156,13,8,28/11/2019
2210138,37480237.0,COL,-34.564,-58.738,F,682.0,,0,156,156,13,10,28/11/2019
2211626,37492332.0,COL,-34.69,-58.566,,2739.0,,0,295,295,1,11,28/11/2019
2211627,37492332.0,COL,-34.64,-58.564,,3463.0,,0,323,323,1,20,28/11/2019
2214091,37508460.0,COL,-34.638,-58.656,F,3821.0,,0,261,261,1,6,28/11/2019
2214092,37508460.0,COL,-34.648,-58.608,F,928.0,,0,71,71,1,12,28/11/2019
2214093,37508460.0,COL,-34.642,-58.624,F,4601.0,,0,261,261,1,17,28/11/2019
2214808,37532749.0,SUB,-34.628,-58.426,M,,,0,32,148,1,14,28/11/2019
2216986,37547131.0,COL,-34.666,-58.7,F,4638.0,,2,152,152,1,12,28/11/2019
2216987,37547131.0,TRE,-34.66,-58.668,F,,CHECK IN,1,144,144,1,12,28/11/2019
2216988,37547131.0,TRE,-34.666,-58.698,F,,CHECK OUT,1,144,144,1,12,28/11/2019
2216989,37547131.0,COL,-34.66,-58.712,F,1052.0,,0,152,152,1,16,28/11/2019
2217057,37547907.0,COL,-34.652,-58.618,F,1472.0,,0,368,368,1,7,28/11/2019
2217142,37548565.0,TRE,-34.686,-58.382,M,,CHECK OUT,0,16,16,1,16,28/11/2019
2217143,37548565.0,TRE,-34.762,-58.398,M,,CHECK IN,0,16,16,1,16,28/11/2019
2217530,37551793.0,COL,-34.586,-58.444,M,570.0,,0,48,48,1,16,28/11/2019
2217531,37551793.0,COL,-34.618,-58.38,M,2273.0,,0,223,223,1,19,28/11/2019
2217782,37553846.0,COL,-34.75,-58.582,F,3463.0,,0,289,289,4,8,28/11/2019
2221088,39000631.0,COL,-34.782,-58.376,F,34.0,,0,392,392,6,7,28/11/2019
2221089,39000631.0,COL,-34.762,-58.396,F,3154.0,,0,235,235,6,13,28/11/2019
2221090,39000631.0,COL,-34.758,-58.38,F,2937.0,,0,396,396,6,18,28/11/2019
2221091,39000631.0,COL,-34.776,-58.396,F,3394.0,,0,396,396,6,20,28/11/2019
2222989,39006080.0,COL,-34.652,-58.376,M,4151.0,,1,143,143,1,4,28/11/2019
2222990,39006080.0,TRE,-34.628,-58.38,M,,CHECK IN,1,16,16,1,14,28/11/2019
2222991,39006080.0,SUB,-34.586,-58.416,M,,,0,32,32,1,14,28/11/2019
2222992,39006080.0,TRE,-34.726,-58.26,M,,CHECK OUT,1,16,16,1,15,28/11/2019
2224911,39009253.0,COL,-34.59,-58.59,F,303.0,,0,22,22,5,15,28/11/2019
2226066,39015420.0,COL,-34.646,-58.694,,3434.0,,0,261,261,1,19,28/11/2019
2226067,39015420.0,SUB,-34.608,-58.406,,,,2,32,220,1,20,28/11/2019
2226068,39015420.0,TRE,-34.608,-58.406,,,CHECK OUT,1,144,144,1,20,28/11/2019
2226069,39015420.0,TRE,-34.66,-58.668,,,CHECK IN,1,144,144,1,20,28/11/2019
2228050,39031703.0,COL,-34.68,-58.51,F,1610.0,,0,118,118,1,7,28/11/2019
2228051,39031703.0,COL,-34.674,-58.558,F,744.0,,0,118,118,1,8,28/11/2019
2228879,39033251.0,COL,-34.64,-58.53,F,2742.0,,0,227,227,10,12,28/11/2019
2228880,39033251.0,COL,-34.642,-58.486,F,4053.0,,0,227,227,10,16,28/11/2019
2229893,39035135.0,COL,-34.13,-59.012,F,3528.0,,0,356,356,3,13,28/11/2019
2229894,39035135.0,COL,-34.102,-59.044,F,1393.0,,0,356,356,3,18,28/11/2019
2231061,39037862.0,COL,-34.714,-58.716,,3822.0,,0,329,329,1,7,28/11/2019
2231062,39037862.0,COL,-34.712,-58.714,,2651.0,,0,329,329,1,8,28/11/2019
2231063,39037862.0,COL,-34.652,-58.642,,3606.0,,0,329,329,1,9,28/11/2019
2231064,39037862.0,COL,-34.716,-58.716,,2163.0,,0,329,329,1,14,28/11/2019
2231065,39037862.0,COL,-34.652,-58.642,,1034.0,,1,240,240,1,16,28/11/2019
2231442,39038839.0,COL,-34.728,-58.572,F,295.0,,0,304,304,5,13,28/11/2019
2231525,39038945.0,COL,,,F,1317.0,,0,59,59,5,8,28/11/2019
2231526,39038945.0,COL,-34.648,-58.62,F,1608.0,,2,13,13,5,9,28/11/2019
2231527,39038945.0,TRE,-34.65,-58.79,F,,CHECK IN,1,144,144,5,9,28/11/2019
2231528,39038945.0,TRE,-34.648,-58.618,F,,CHECK OUT,1,144,144,5,9,28/11/2019
2231728,39039361.0,COL,-34.71,-58.236,M,1122.0,,0,114,114,6,7,28/11/2019
2231804,39039480.0,COL,-34.586,-58.748,F,2518.0,,0,5,5,1,16,28/11/2019
2231805,39039480.0,COL,-34.54,-58.712,F,3394.0,,0,5,5,1,20,28/11/2019
2232011,39039807.0,TRE,-34.628,-58.38,,,CHECK OUT SIN CHECKIN,0,16,16,1,5,28/11/2019
2232012,39039807.0,COL,-34.624,-58.374,,34.0,,0,300,300,1,6,28/11/2019
2232013,39039807.0,COL,-34.59,-58.422,,3353.0,,0,48,48,1,14,28/11/2019
